PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,CR,DIST_DSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_GSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_LPG,,,,,,,,,,10.0
OperationalLife,BAU,CR,DIST_FOI,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_COK,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_NGS,,,,,,,,,,1.0
OperationalLife,BAU,CR,PPHDAM,,,,,,,,,,40.0
OperationalLife,BAU,CR,PPHROR,,,,,,,,,,40.0
OperationalLife,BAU,CR,PPGEO,,,,,,,,,,30.0
OperationalLife,BAU,CR,PPWNDON,,,,,,,,,,25.0
OperationalLife,BAU,CR,PPPVT,,,,,,,,,,25.0
OperationalLife,BAU,CR,PPPVTHYD,,,,,,,,,,25.0
OperationalLife,BAU,CR,PPPVTS,,,,,,,,,,25.0
OperationalLife,BAU,CR,PPPVD,,,,,,,,,,20.0
OperationalLife,BAU,CR,PPPVDS,,,,,,,,,,20.0
OperationalLife,BAU,CR,PPBIO,,,,,,,,,,25.0
OperationalLife,BAU,CR,PPDSL,,,,,,,,,,35.0
OperationalLife,BAU,CR,PPFOI,,,,,,,,,,35.0
OperationalLife,BAU,CR,DIST_BM,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_BF,,,,,,,,,,1.0
OperationalLife,BAU,CR,ELE_TRANS,,,,,,,,,,60.0
OperationalLife,BAU,CR,ELE_DIST,,,,,,,,,,50.0
OperationalLife,BAU,CR,HYD_G_PROD,,,,,,,,,,20.0
OperationalLife,BAU,CR,HYD_DIST,,,,,,,,,,15.0
OperationalLife,BAU,CR,T5DSLAGR,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELEAGR,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5LPGCOM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELECOM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELEPUB,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5LPGRES,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELERES,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELEEXP,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_PRI,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4GSL_PRI,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_PRI,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_PRI,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_PUB,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_PUB,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_PUB,,,,,,,,,,15.0
OperationalLife,BAU,CR,T4HYD_PUB,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4GSL_PUB,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_HEA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_HEA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_HEA,,,,,,,,,,15.0
OperationalLife,BAU,CR,T4HYD_HEA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_LIG,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4GSL_LIG,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_LIG,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_LIG,,,,,,,,,,15.0
OperationalLife,BAU,CR,TRSUVDSL,,,,,,,,,,17.0
OperationalLife,BAU,CR,TRSUVGSL,,,,,,,,,,17.0
OperationalLife,BAU,CR,TRSUVLPG,,,,,,,,,,17.0
OperationalLife,BAU,CR,TRSUVELE,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRSUVPHG,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRSUVPHD,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRSEDGSL,,,,,,,,,,17.0
OperationalLife,BAU,CR,TRSEDELE,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRSEDPHG,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRMOTGSL,,,,,,,,,,7.0
OperationalLife,BAU,CR,TRMOTELE,,,,,,,,,,12.0
OperationalLife,BAU,CR,TRBUSDSL,,,,,,,,,,14.0
OperationalLife,BAU,CR,TRBUSLPG,,,,,,,,,,14.0
OperationalLife,BAU,CR,TRBUSELE,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRBUSHYD,,,,,,,,,,12.0
OperationalLife,BAU,CR,TRBUSPHD,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRMBUSDSL,,,,,,,,,,14.0
OperationalLife,BAU,CR,TRMBUSLPG,,,,,,,,,,14.0
OperationalLife,BAU,CR,TRMBUSELE,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRMBUSHYD,,,,,,,,,,12.0
OperationalLife,BAU,CR,TRMBUSPHD,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRTAXDSL,,,,,,,,,,9.0
OperationalLife,BAU,CR,TRTAXGSL,,,,,,,,,,9.0
OperationalLife,BAU,CR,TRTAXELE,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRTAXPHG,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRTAXPHD,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRXTRAIDSL,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRXTRAIELE,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRXTRAIFREELE,,,,,,,,,,50.0
OperationalLife,BAU,CR,TRYTKDSL,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRYTKLPG,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRYTKELE,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRYTKHYD,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRYTKPHD,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRYLFDSL,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRYLFGSL,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRYLFLPG,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRYLFELE,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRYLFPHG,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRYLFPHD,,,,,,,,,,18.0
OperationalLife,BAU,CR,Techs_SUVMIV,,,,,,,,,,1.0
OperationalLife,BAU,CR,Techs_Sedan,,,,,,,,,,1.0
OperationalLife,BAU,CR,Techs_Motos,,,,,,,,,,1.0
OperationalLife,BAU,CR,Techs_Buses,,,,,,,,,,1.0
OperationalLife,BAU,CR,Techs_Microbuses,,,,,,,,,,1.0
OperationalLife,BAU,CR,Techs_Taxis,,,,,,,,,,1.0
OperationalLife,BAU,CR,Techs_Trains,,,,,,,,,,1.0
OperationalLife,BAU,CR,Techs_Trains_Freight,,,,,,,,,,1.0
OperationalLife,BAU,CR,Techs_He_Freight,,,,,,,,,,1.0
OperationalLife,BAU,CR,Techs_Li_Freight,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_AL1,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_AL1,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_AL1,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4HYD_AL1,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4NGS_AL1,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4FOI_AL1,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4BIO_AL1,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_CEM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4HYD_CEM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4COK_CEM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4BIO_CEM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_GLA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_GLA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4HYD_GLA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4NGS_GLA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4FOI_GLA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_FBO,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_FBO,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_FBO,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4FOI_FBO,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4BIO_FBO,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_AL2,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_AL2,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_AL2,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_AL3,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_AL3,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_AL3,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4BIO_AL3,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_AL4,,,,,,,,,,1.0
OperationalLife,BAU,CR,INBOIDSL,,,,,,,,,,25.0
OperationalLife,BAU,CR,INBOILPG,,,,,,,,,,25.0
OperationalLife,BAU,CR,INBOIELE,,,,,,,,,,25.0
OperationalLife,BAU,CR,INBOIHYD,,,,,,,,,,25.0
OperationalLife,BAU,CR,INBOINGS,,,,,,,,,,25.0
OperationalLife,BAU,CR,INBOIFOI,,,,,,,,,,25.0
OperationalLife,BAU,CR,INBOIBIO,,,,,,,,,,25.0
OperationalLife,BAU,CR,INHCEELE,,,,,,,,,,25.0
OperationalLife,BAU,CR,INHCEHYD,,,,,,,,,,25.0
