PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,CR,DIST_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,DIST_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,DIST_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,DIST_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,DIST_COK,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,DIST_NGS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,PPHDAM,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPHROR,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPGEO,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPWNDON,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPPVT,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPPVTHYD,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPPVTS,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPPVD,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPPVDS,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPBIO,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPDSL,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,PPFOI,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,CR,DIST_BM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,DIST_BF,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,ELE_TRANS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,ELE_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,HYD_G_PROD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,HYD_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T5DSLAGR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T5ELEAGR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T5LPGCOM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T5ELECOM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T5ELEPUB,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T5LPGRES,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T5ELERES,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T5ELEEXP,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4DSL_PRI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4GSL_PRI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4LPG_PRI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4ELE_PRI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4DSL_PUB,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4LPG_PUB,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4ELE_PUB,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4HYD_PUB,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4GSL_PUB,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4ELE_HEA,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4DSL_HEA,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4LPG_HEA,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4HYD_HEA,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4DSL_LIG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4GSL_LIG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4LPG_LIG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,T4ELE_LIG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRSUVDSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRSUVGSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRSUVLPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRSUVELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRSUVPHG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRSUVPHD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRSEDGSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRSEDELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRSEDPHG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRMOTGSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRMOTELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRBUSDSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRBUSLPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRBUSELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRBUSHYD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRBUSPHD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRMBUSDSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRMBUSLPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRMBUSELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRMBUSHYD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRMBUSPHD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRTAXDSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRTAXGSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRTAXELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRTAXPHG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRTAXPHD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRXTRAIDSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRXTRAIELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRXTRAIFREELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYTKDSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYTKLPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYTKELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYTKHYD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYTKPHD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYLFDSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYLFGSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYLFLPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYLFELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYLFPHG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,TRYLFPHD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,Techs_SUVMIV,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,Techs_Sedan,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,Techs_Motos,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,CR,Techs_Buses,,,,,,,,,,1.0
